texto,rotulo
"cachorro perdido perto do Sesc, está com a pata machucada!",encontrado
Cãozinho encontrado na avenida Brasil,encontrado
Abandonado ou perdido?,encontrado
Cachorro abandonado na rua,encontrado
Cachorro apareceu aqui na minha casa,encontrado
Apareceu aqui na rua de casa,encontrado
Cachorro perdido,encontrado
Se alguém conhecer o dono,encontrado
Se alguém conhecer o tutor,encontrado
Procuro dono,encontrado
Procuro tutor,encontrado
Cachorro perdido no condomínio,encontrado
Cão perdido a espera do dono,encontrado
Alguém sabe quem é o dono?,encontrado
Produro o dono desse cachorro,encontrado
Cachorro perdido/abandonado no Jardim Paulista,encontrado
Vamos ajudar a encontrar o tutor,encontrado
Esse cachorro está perdido aqui no residencial,encontrado
Alguém perdeu?,encontrado
Alguém procurando?,encontrado
Essa cachorra foi encontrada no Jardim Santa Helena,encontrado
A procura do dono,encontrado
cachorro aparentemente perdido,encontrado
perdido na vila marcondes,encontrado
só entrego para o dono,encontrado
acabei de encontrar esse cachorro perdido,encontrado
quem perdido,encontrado
ajude a encontrar o dono,encontrado
quem souber do dono,encontrado
estava sozinho na rua,encontrado
perdido no bairro são judas dei abrigo mas não posso ficar,encontrado
perdido na vila maria está na rua,encontrado
cachorro encontrado na vila izabel,encontrado
Procuro Bob,desaparecido
Se perdeu próximo a rua,desaparecido
Se alguém encontrar é meu,desaparecido
Se alguém achar entrar em contato,desaparecido
Max desapareceu essa noite,desaparecido
Ainda estou a procura do meu companheiro Toby,desaparecido
Thor sumiu desde segunda-feira,desaparecido
Recompensa-se,desaparecido
Recompensa para quem devolver,desaparecido
Dudu desapareceu essa noite,desaparecido
Animal fugiu na noite do dia,desaparecido
Nos ajude a encontrar o Moti,desaparecido
Procura-se,desaparecido
Se alguém achar entrar em contato,desaparecido
Quem encontrar entrar em contato,desaparecido
"Por favor se alguém os vir, entre em contato",desaparecido
Tutora está desesperada,desaparecido
Dono está desesperado,desaparecido
Atende pelo nome de Lilica,desaparecido
Cachorrinha desaparecida,desaparecido
Ela se chama Lily,desaparecido
Ele se chama Nino,desaparecido
Estou procurando meu cachorro,desaparecido
Cãozinho desaparecido,desaparecido
Continuo procurando a Meg,desaparecido
Ainda não encontrei o Bob,desaparecido
Fugiu próximo ao parque do povo,desaparecido
Sumiu perto da igreja,desaparecido
Esse cachorro tem dono,desaparecido
Esse cachorro tem tutor,desaparecido
esse cachorro tem lar,desaparecido
esse cachorro tem casa,desaparecido
continua desaparecida,desaparecido
fugiram da minha casa,desaparecido
Ainda desaparecido,desaparecido
sumiram ontem de manhã,desaparecido
se alguém encontrar por favor avisa,desaparecido
cachorro escapou do quintal,desaparecido
fugiram de cada,desaparecido
ajude a encontrar o nosso mascote,desaparecido
ajude a encontrar a Pipoca,desaparecido
procura-se atende por Bolt,desaparecido
Fugiu perto do bairro,desaparecido
escapou próximo ao mercado,desaparecido
por favor devolva,desaparecido
procura-se Belinha,desaparecido
ajuda para encontrar o Bob,desaparecido
Procuro esse cachorro,desaparecido
Procuro esse dog,desaparecido
